utc,timestamp,door_count,battery_life,
1590144389,Fri 22 May 2020 12:46:29 PM CEST,43,3,
1590144420,Fri 22 May 2020 12:47:00 PM CEST,28,9,
1590144463,Fri 22 May 2020 12:47:43 PM CEST,25,31,
1590144509,Fri 22 May 2020 12:48:29 PM CEST,49,71,
1590144548,Fri 22 May 2020 12:49:08 PM CEST,44,74,
1590144568,Fri 22 May 2020 12:49:28 PM CEST,43,88,
1590144601,Fri 22 May 2020 12:50:01 PM CEST,44,20,
1590144648,Fri 22 May 2020 12:50:48 PM CEST,14,70,
1590144659,Fri 22 May 2020 12:50:59 PM CEST,47,35,
1590144691,Fri 22 May 2020 12:51:31 PM CEST,34,93,
1590144731,Fri 22 May 2020 12:52:11 PM CEST,48,86,
1590144782,Fri 22 May 2020 12:53:02 PM CEST,18,91,
1590144784,Fri 22 May 2020 12:53:04 PM CEST,32,18,
1590144790,Fri 22 May 2020 12:53:10 PM CEST,31,48,
1590144824,Fri 22 May 2020 12:53:44 PM CEST,23,42,
1590144848,Fri 22 May 2020 12:54:08 PM CEST,16,71,
1590144869,Fri 22 May 2020 12:54:29 PM CEST,10,28,
1590144887,Fri 22 May 2020 12:54:47 PM CEST,2,84,
1590144920,Fri 22 May 2020 12:55:20 PM CEST,9,10,
1590144948,Fri 22 May 2020 12:55:48 PM CEST,48,93,
1590144980,Fri 22 May 2020 12:56:20 PM CEST,45,86,
1590144986,Fri 22 May 2020 12:56:26 PM CEST,21,50,
1590145042,Fri 22 May 2020 12:57:22 PM CEST,13,12,
1590145096,Fri 22 May 2020 12:58:16 PM CEST,16,99,
1590145132,Fri 22 May 2020 12:58:52 PM CEST,36,62,
1590145167,Fri 22 May 2020 12:59:27 PM CEST,8,9,
1590145170,Fri 22 May 2020 12:59:30 PM CEST,10,34,
1590145215,Fri 22 May 2020 01:00:15 PM CEST,41,78,
1590145254,Fri 22 May 2020 01:00:54 PM CEST,47,73,
1590145287,Fri 22 May 2020 01:01:27 PM CEST,27,62,
1590145291,Fri 22 May 2020 01:01:31 PM CEST,27,16,
1590145334,Fri 22 May 2020 01:02:14 PM CEST,35,92,
1590145385,Fri 22 May 2020 01:03:05 PM CEST,45,84,
1590145409,Fri 22 May 2020 01:03:29 PM CEST,23,9,
1590145425,Fri 22 May 2020 01:03:45 PM CEST,34,57,
1590145431,Fri 22 May 2020 01:03:51 PM CEST,26,38,
1590145482,Fri 22 May 2020 01:04:42 PM CEST,40,61,
1590145539,Fri 22 May 2020 01:05:39 PM CEST,10,72,
1590145556,Fri 22 May 2020 01:05:56 PM CEST,9,31,
1590145589,Fri 22 May 2020 01:06:29 PM CEST,45,16,
1590145644,Fri 22 May 2020 01:07:24 PM CEST,46,5,
1590145655,Fri 22 May 2020 01:07:35 PM CEST,35,21,
1590145707,Fri 22 May 2020 01:08:27 PM CEST,47,93,
1590145746,Fri 22 May 2020 01:09:06 PM CEST,25,3,
1590145803,Fri 22 May 2020 01:10:03 PM CEST,34,19,
1590145824,Fri 22 May 2020 01:10:24 PM CEST,14,95,
1590145873,Fri 22 May 2020 01:11:13 PM CEST,1,29,
1590145880,Fri 22 May 2020 01:11:20 PM CEST,19,31,
1590145899,Fri 22 May 2020 01:11:39 PM CEST,19,52,
1590145908,Fri 22 May 2020 01:11:48 PM CEST,15,28,
1590145959,Fri 22 May 2020 01:12:39 PM CEST,41,64,
1590145962,Fri 22 May 2020 01:12:42 PM CEST,27,89,
1590146009,Fri 22 May 2020 01:13:29 PM CEST,30,71,
1590146050,Fri 22 May 2020 01:14:10 PM CEST,6,95,
1590146086,Fri 22 May 2020 01:14:46 PM CEST,17,71,
1590146096,Fri 22 May 2020 01:14:56 PM CEST,24,92,
1590146128,Fri 22 May 2020 01:15:28 PM CEST,13,63,
1590146177,Fri 22 May 2020 01:16:17 PM CEST,40,23,
1590146234,Fri 22 May 2020 01:17:14 PM CEST,10,31,
1590146246,Fri 22 May 2020 01:17:26 PM CEST,37,16,
1590146251,Fri 22 May 2020 01:17:31 PM CEST,24,66,
1590146251,Fri 22 May 2020 01:17:31 PM CEST,37,85,
1590146294,Fri 22 May 2020 01:18:14 PM CEST,12,90,
1590146335,Fri 22 May 2020 01:18:55 PM CEST,3,60,
1590146362,Fri 22 May 2020 01:19:22 PM CEST,27,44,
1590146374,Fri 22 May 2020 01:19:34 PM CEST,21,90,
1590146431,Fri 22 May 2020 01:20:31 PM CEST,46,86,
1590146439,Fri 22 May 2020 01:20:39 PM CEST,24,33,
1590146466,Fri 22 May 2020 01:21:06 PM CEST,33,24,
1590146482,Fri 22 May 2020 01:21:22 PM CEST,9,71,
1590146519,Fri 22 May 2020 01:21:59 PM CEST,39,58,
1590146519,Fri 22 May 2020 01:21:59 PM CEST,23,80,
1590146530,Fri 22 May 2020 01:22:10 PM CEST,42,0,
1590146547,Fri 22 May 2020 01:22:27 PM CEST,46,5,
1590146569,Fri 22 May 2020 01:22:49 PM CEST,23,35,
1590146572,Fri 22 May 2020 01:22:52 PM CEST,22,21,
1590146598,Fri 22 May 2020 01:23:18 PM CEST,18,93,
1590146637,Fri 22 May 2020 01:23:57 PM CEST,23,99,
1590146640,Fri 22 May 2020 01:24:00 PM CEST,49,94,
1590146677,Fri 22 May 2020 01:24:37 PM CEST,38,89,
1590146715,Fri 22 May 2020 01:25:15 PM CEST,40,4,
1590146728,Fri 22 May 2020 01:25:28 PM CEST,6,21,
1590146786,Fri 22 May 2020 01:26:26 PM CEST,12,5,
1590146797,Fri 22 May 2020 01:26:37 PM CEST,26,85,
1590146823,Fri 22 May 2020 01:27:03 PM CEST,38,72,
1590146866,Fri 22 May 2020 01:27:46 PM CEST,49,57,
1590146913,Fri 22 May 2020 01:28:33 PM CEST,2,45,
1590146922,Fri 22 May 2020 01:28:42 PM CEST,37,84,
1590146937,Fri 22 May 2020 01:28:57 PM CEST,6,93,
1590146974,Fri 22 May 2020 01:29:34 PM CEST,20,82,
1590147032,Fri 22 May 2020 01:30:32 PM CEST,48,94,
1590147086,Fri 22 May 2020 01:31:26 PM CEST,18,25,
1590147113,Fri 22 May 2020 01:31:53 PM CEST,27,93,
1590147130,Fri 22 May 2020 01:32:10 PM CEST,20,59,
1590147141,Fri 22 May 2020 01:32:21 PM CEST,31,8,
1590147178,Fri 22 May 2020 01:32:58 PM CEST,13,66,
1590147234,Fri 22 May 2020 01:33:54 PM CEST,28,47,
1590147253,Fri 22 May 2020 01:34:13 PM CEST,30,2,
1590147253,Fri 22 May 2020 01:34:13 PM CEST,48,82,
1590147262,Fri 22 May 2020 01:34:22 PM CEST,21,46,
1590147295,Fri 22 May 2020 01:34:55 PM CEST,32,50,
1590147319,Fri 22 May 2020 01:35:19 PM CEST,2,22,
1590147328,Fri 22 May 2020 01:35:28 PM CEST,30,6,
1590147372,Fri 22 May 2020 01:36:12 PM CEST,22,49,
1590147388,Fri 22 May 2020 01:36:28 PM CEST,47,1,
1590147441,Fri 22 May 2020 01:37:21 PM CEST,14,58,
1590147477,Fri 22 May 2020 01:37:57 PM CEST,30,75,
1590147529,Fri 22 May 2020 01:38:49 PM CEST,24,41,
1590147585,Fri 22 May 2020 01:39:45 PM CEST,16,68,
1590147615,Fri 22 May 2020 01:40:15 PM CEST,19,66,
1590147672,Fri 22 May 2020 01:41:12 PM CEST,4,1,
1590147727,Fri 22 May 2020 01:42:07 PM CEST,26,72,
1590147740,Fri 22 May 2020 01:42:20 PM CEST,42,46,
1590147751,Fri 22 May 2020 01:42:31 PM CEST,2,13,
1590147800,Fri 22 May 2020 01:43:20 PM CEST,7,33,
1590147823,Fri 22 May 2020 01:43:43 PM CEST,20,85,
1590147863,Fri 22 May 2020 01:44:23 PM CEST,17,29,
1590147870,Fri 22 May 2020 01:44:30 PM CEST,4,85,
1590147887,Fri 22 May 2020 01:44:47 PM CEST,12,88,
1590147903,Fri 22 May 2020 01:45:03 PM CEST,36,22,
1590147930,Fri 22 May 2020 01:45:30 PM CEST,7,40,
1590147980,Fri 22 May 2020 01:46:20 PM CEST,23,35,
1590148023,Fri 22 May 2020 01:47:03 PM CEST,48,46,
1590148037,Fri 22 May 2020 01:47:17 PM CEST,21,88,
1590148086,Fri 22 May 2020 01:48:06 PM CEST,40,29,
1590148102,Fri 22 May 2020 01:48:22 PM CEST,22,31,
1590148154,Fri 22 May 2020 01:49:14 PM CEST,46,80,
1590148210,Fri 22 May 2020 01:50:10 PM CEST,26,51,
1590148251,Fri 22 May 2020 01:50:51 PM CEST,1,32,
1590148269,Fri 22 May 2020 01:51:09 PM CEST,38,49,
1590148315,Fri 22 May 2020 01:51:55 PM CEST,5,20,
1590148336,Fri 22 May 2020 01:52:16 PM CEST,29,72,
1590148348,Fri 22 May 2020 01:52:28 PM CEST,14,88,
1590148360,Fri 22 May 2020 01:52:40 PM CEST,33,23,
1590148403,Fri 22 May 2020 01:53:23 PM CEST,6,58,
1590148445,Fri 22 May 2020 01:54:05 PM CEST,2,40,
1590148465,Fri 22 May 2020 01:54:25 PM CEST,9,86,
1590148504,Fri 22 May 2020 01:55:04 PM CEST,40,34,
1590148533,Fri 22 May 2020 01:55:33 PM CEST,4,29,
1590148574,Fri 22 May 2020 01:56:14 PM CEST,40,36,
1590148633,Fri 22 May 2020 01:57:13 PM CEST,34,35,
1590148687,Fri 22 May 2020 01:58:07 PM CEST,24,71,
1590148739,Fri 22 May 2020 01:58:59 PM CEST,16,3,
1590148791,Fri 22 May 2020 01:59:51 PM CEST,5,38,
1590148836,Fri 22 May 2020 02:00:36 PM CEST,34,21,
1590148873,Fri 22 May 2020 02:01:13 PM CEST,29,90,
1590148879,Fri 22 May 2020 02:01:19 PM CEST,11,78,
1590148914,Fri 22 May 2020 02:01:54 PM CEST,30,64,
1590148961,Fri 22 May 2020 02:02:41 PM CEST,20,11,
1590148971,Fri 22 May 2020 02:02:51 PM CEST,40,55,
1590148989,Fri 22 May 2020 02:03:09 PM CEST,43,37,
1590149044,Fri 22 May 2020 02:04:04 PM CEST,12,98,
1590149101,Fri 22 May 2020 02:05:01 PM CEST,22,69,
1590149105,Fri 22 May 2020 02:05:05 PM CEST,2,48,
1590149106,Fri 22 May 2020 02:05:06 PM CEST,38,38,
1590149156,Fri 22 May 2020 02:05:56 PM CEST,22,77,
1590149165,Fri 22 May 2020 02:06:05 PM CEST,5,52,
1590149210,Fri 22 May 2020 02:06:50 PM CEST,26,97,
1590149224,Fri 22 May 2020 02:07:04 PM CEST,37,46,
1590149250,Fri 22 May 2020 02:07:30 PM CEST,16,35,
1590149280,Fri 22 May 2020 02:08:00 PM CEST,21,16,
1590149322,Fri 22 May 2020 02:08:42 PM CEST,12,13,
1590149324,Fri 22 May 2020 02:08:44 PM CEST,0,52,
1590149366,Fri 22 May 2020 02:09:26 PM CEST,25,57,
1590149415,Fri 22 May 2020 02:10:15 PM CEST,22,54,
1590149416,Fri 22 May 2020 02:10:16 PM CEST,10,25,
1590149439,Fri 22 May 2020 02:10:39 PM CEST,46,54,
1590149460,Fri 22 May 2020 02:11:00 PM CEST,2,2,
1590149470,Fri 22 May 2020 02:11:10 PM CEST,49,43,
1590149495,Fri 22 May 2020 02:11:35 PM CEST,21,26,
1590149510,Fri 22 May 2020 02:11:50 PM CEST,34,21,
1590149522,Fri 22 May 2020 02:12:02 PM CEST,8,68,
1590149568,Fri 22 May 2020 02:12:48 PM CEST,15,85,
1590149601,Fri 22 May 2020 02:13:21 PM CEST,6,50,
1590149640,Fri 22 May 2020 02:14:00 PM CEST,49,64,
1590149658,Fri 22 May 2020 02:14:18 PM CEST,43,77,
1590149684,Fri 22 May 2020 02:14:44 PM CEST,47,89,
1590149742,Fri 22 May 2020 02:15:42 PM CEST,3,33,
