utc,timestamp,dht22_h_mkr,hih8121_t_mkr,tmp102_wis,dht22_h_wis,tmp36_1_esp,hih8121_h_wis,hih8121_t_esp,dht22_h_esp,sht85_h_esp,tmp36_0_esp,dht22_t_mkr,hih8121_h_mkr,sht85_h_mkr,sht85_t_wis,hih8121_t_wis,dht22_t_wis,sht85_t_mkr,hh10d_mkr,hih4030_esp,sht85_t_esp,hh10d_wis,tmp36_2_esp,hh10d_esp,dht22_t_esp,sht85_h_wis,hih8121_h_esp,
1587036282,16/4/2020 13:24:42,0.0,0.0,24.12,NaN,23.74,49.64,23.81,48.5,NaN,24.19,0.0,0.0,0.0,23.57,23.72,NaN,0.0,0.0,NaN,NaN,44.53,23.46,33.64,23.8,52.62,50.93,
1587036882,16/4/2020 13:34:42,52.9,23.55,23.94,NaN,23.24,48.59,23.52,49.8,NaN,24.02,23.1,50.4,52.33,23.1,23.46,NaN,23.62,50.33,NaN,NaN,43.4,23.35,30.71,23.8,52.08,50.1,
1587037482,16/4/2020 13:44:42,54.2,23.27,23.44,NaN,23.2,50.49,23.25,48.6,NaN,23.67,23.1,49.57,51.95,22.84,23.11,NaN,23.14,49.42,NaN,NaN,48.99,22.9,39.99,23.7,53.73,51.76,
1587038082,16/4/2020 13:54:42,53.0,22.94,22.75,NaN,22.67,53.11,22.46,50.9,NaN,23.14,22.9,51.23,53.36,21.84,22.13,NaN,22.93,50.21,NaN,NaN,48.92,22.38,40.49,23.1,56.03,53.96,
1587038682,16/4/2020 14:4:42,55.4,22.25,22.56,51.5,22.26,53.55,22.37,52.6,NaN,22.75,22.2,53.33,55.11,21.98,22.23,9.5,22.16,50.33,NaN,NaN,51.61,21.94,40.26,22.5,56.35,54.94,
1587039282,16/4/2020 14:14:42,57.3,22.01,22.44,52.7,22.09,53.57,22.24,54.0,NaN,22.58,21.7,54.47,56.27,21.79,22.1,9.4,21.99,50.37,NaN,NaN,50.94,21.81,40.32,22.3,56.65,54.94,
1587039882,16/4/2020 14:24:42,58.8,21.89,21.81,52.1,21.68,53.69,21.42,53.8,NaN,22.13,21.4,54.43,56.16,20.76,21.13,9.2,21.85,50.37,NaN,NaN,49.33,21.38,40.17,22.1,56.7,54.55,
1587040482,16/4/2020 14:34:42,58.8,21.24,21.94,NaN,21.62,54.87,21.77,52.4,NaN,22.04,21.2,53.96,55.81,21.45,21.68,NaN,21.11,50.25,NaN,NaN,52.39,21.38,40.37,21.6,57.61,56.28,
1587041349,16/4/2020 14:49:9,0.0,0.0,22.12,NaN,21.72,53.33,21.91,52.1,NaN,22.19,0.0,0.0,0.0,21.54,21.74,NaN,0.0,0.0,NaN,NaN,50.01,21.48,40.27,21.9,55.95,54.6,
1587041564,16/4/2020 14:52:44,0.0,0.0,22.06,NaN,21.7,53.45,21.81,52.1,NaN,22.19,0.0,0.0,0.0,21.37,21.62,NaN,0.0,0.0,NaN,NaN,50.22,21.46,40.67,21.9,56.08,54.72,
1587041615,16/4/2020 14:53:35,0.0,0.0,22.12,NaN,21.76,53.42,21.95,52.4,NaN,22.21,0.0,0.0,0.0,21.68,21.85,NaN,0.0,0.0,NaN,NaN,51.43,21.49,40.63,21.9,56.04,54.84,
1587041699,16/4/2020 14:54:59,0.0,0.0,22.19,NaN,21.76,53.38,22.03,52.6,NaN,22.24,0.0,0.0,0.0,21.85,21.95,NaN,0.0,0.0,NaN,NaN,51.17,21.49,40.15,22.0,55.86,54.87,
1587041786,16/4/2020 14:56:26,0.0,0.0,22.12,NaN,21.74,53.72,21.95,52.7,NaN,22.21,0.0,0.0,0.0,21.62,21.83,NaN,0.0,0.0,NaN,NaN,51.09,21.48,40.05,22.0,56.35,55.16,
1587041792,16/4/2020 14:56:32,57.3,21.61,22.12,51.9,21.76,53.69,21.93,53.8,59.24,22.23,21.2,54.69,56.27,21.62,21.84,9.2,21.65,50.41,50.31,21.74,50.84,21.48,40.28,22.0,56.34,55.13,
1587041797,16/4/2020 14:56:37,58.5,21.61,22.12,51.7,21.76,53.67,21.94,53.7,59.22,22.09,21.2,54.67,56.21,21.69,21.88,9.1,21.66,50.45,50.31,21.69,50.82,21.49,40.22,21.9,56.38,55.21,
1587041803,16/4/2020 14:56:43,58.5,21.62,22.19,51.9,21.77,53.62,21.94,53.8,59.25,22.23,21.2,54.72,56.22,21.71,21.91,9.2,21.66,50.61,50.33,21.72,50.98,21.51,40.01,22.0,56.33,55.21,
1587041807,16/4/2020 14:56:47,58.5,21.62,22.19,52.0,21.77,53.6,21.95,53.8,59.28,22.23,21.2,54.74,56.24,21.71,21.93,9.2,21.65,50.33,50.33,21.75,50.96,21.51,40.21,22.0,56.34,55.23,
1587041812,16/4/2020 14:56:52,58.5,21.64,22.19,52.0,21.77,53.57,21.97,53.8,59.28,22.23,21.2,54.77,56.24,21.75,21.93,9.2,21.69,50.29,50.29,21.74,51.26,21.51,40.5,22.0,56.3,55.28,
1587041818,16/4/2020 14:56:58,58.6,21.65,22.19,52.1,21.77,53.45,21.97,53.9,59.31,22.24,21.2,54.77,56.26,21.72,21.89,9.2,21.71,50.33,50.44,21.75,50.39,21.51,40.62,22.0,56.18,55.26,
1587041824,16/4/2020 14:57:4,58.6,21.65,22.19,51.9,21.77,53.6,21.93,53.8,59.24,22.24,21.2,54.69,56.19,21.64,21.81,9.2,21.68,50.25,50.11,21.74,50.27,21.51,40.55,22.0,56.17,55.11,
1587041831,16/4/2020 14:57:11,58.4,21.65,22.19,51.9,21.79,53.74,21.97,53.7,59.2,22.24,21.2,54.72,56.2,21.67,21.87,9.2,21.68,50.25,50.2,21.74,51.01,21.53,40.0,22.0,56.39,55.23,
1587041838,16/4/2020 14:57:18,58.5,21.67,22.19,52.0,21.79,53.77,21.98,53.8,59.24,22.24,21.2,54.77,56.27,21.72,21.89,9.2,21.72,50.37,50.37,21.75,50.52,21.51,40.14,22.0,56.43,55.23,
